Iterations,SSIM,PSNR,LPIPS
10000,0.9092960953712463,25.508012771606445,0.07157289981842041
15000,0.9242567420005798,26.592540740966797,0.05793903395533562
20000,0.9296259880065918,27.057607650756836,0.0519007109105587
25000,0.9321544766426086,27.428218841552734,0.04996754601597786
30000,0.9331042766571045,27.555622100830078,0.04866126552224159
5000,0.8894326090812683,24.616153717041016,0.09351006895303726
